code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
002405,光大中高等级债券A,债券型,2025/11/20,1.7304,-0.05,-0.87,2.7,3.48,14.93,23.52,40.39,38.74,18.76,79.22,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
003510,长盛可转债债券A,债券型,2025/11/20,1.1658,-0.23,-1.83,2.56,0.96,13.28,23.47,20.53,11.77,19.37,63.02,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
009465,东方可转债债券A,债券型,2025/11/20,1.1546,-0.54,-2.27,0.02,-2.7,12.64,23.42,13.12,10.54,21.79,20.47,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
003505,景顺长城景颐丰利债券C,债券型,2025/11/20,1.4257,0.01,-0.57,0.68,4.67,18.8,23.41,31.5,30.02,21.62,49.87,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
003511,长盛可转债债券C,债券型,2025/11/20,1.1565,-0.23,-1.83,2.54,0.88,13.12,23.1,19.81,10.77,19.05,62.69,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
008897,上银可转债精选债券A,债券型,2025/11/20,0.9179,-0.36,-2.41,1.47,-1.39,10.87,23.09,13.98,9.43,19.77,-8.21,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
002406,光大中高等级债券C,债券型,2025/11/20,1.6746,-0.05,-0.88,2.66,3.38,14.71,23.05,39.28,37.1,18.36,73.44,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
009466,东方可转债债券C,债券型,2025/11/20,1.1383,-0.54,-2.28,-0.02,-2.8,12.41,22.93,12.21,9.21,21.35,18.22,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
005273,华商可转债债券A,债券型,2025/11/20,1.8996,-0.81,-3.63,1.57,2.79,19.1,22.72,25.13,23.81,23.68,89.96,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
015748,上银可转债精选债券C,债券型,2025/11/20,0.9094,-0.36,-2.42,1.44,-1.47,10.67,22.71,13.31,8.46,19.44,2.09,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
005945,工银可转债优选债券A,债券型,2025/11/20,1.3925,-0.73,-2.57,-0.16,5.6,15.16,22.26,23.81,13.03,21.15,39.24,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
005284,华商可转债债券C,债券型,2025/11/20,1.8488,-0.81,-3.64,1.53,2.69,18.86,22.23,24.14,22.33,23.25,84.88,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
400027,东方双债添利债券A,债券型,2025/11/20,1.4071,-0.16,-1.4,2.19,1.93,13.37,22.11,18.58,16.5,20.73,111.97,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
019095,东方双债添利债券D,债券型,2025/11/20,1.4073,-0.16,-1.4,2.19,1.93,13.36,22.11,18.59,,20.74,18.75,3,1,1,0.09,0,,043,1,1,10元,0.90%,0.09%,0.09%,1,
040012,华安强化收益债券A,债券型,2025/11/20,1.4468,-0.42,-1.28,0.59,3.32,13.63,22.09,31.45,34.69,19.81,213.36,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
002586,金鹰添利信用债债券A,债券型,2025/11/20,1.2886,-0.31,-1.79,2.27,3.01,14.11,22.01,22.21,20.97,19.67,63.35,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
519977,长信可转债债券A,债券型,2025/11/20,1.8882,-0.39,-2.29,0.58,0.26,14.64,21.8,20.41,12.09,19.11,265.58,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
005946,工银可转债优选债券C,债券型,2025/11/20,1.3504,-0.73,-2.57,-0.18,5.51,14.94,21.79,22.84,11.68,20.73,35.03,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
