code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
008738,天弘兴享一年定开,债券型,2025/11/20,1.0092,0,0.04,0.39,0.49,0.78,2.61,6.24,10.32,1.31,19.38,0,1,1,0.06,0,,041_071_080,0,6,---,0.60%,0.06%,0.06%,1,
009458,红土创新纯债C,债券型,2025/11/20,1.0746,0.01,0.02,0.32,0.49,0.65,2.61,6.93,9.7,0.91,18.95,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
009894,前海开源惠盈39个月定开债券,债券型,2025/11/14,1.0122,,0.05,0.25,0.7,1.36,2.61,5.18,8.85,2.23,17.31,0,1,1,0.06,0,,041_071,0,6,10元,0.60%,0.06%,0.06%,1,
009871,景顺长城景瑞收益债券C,债券型,2025/11/20,1.1014,-0.01,0.04,0.47,0.52,0.55,2.61,6.76,9.56,1.16,16.31,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
001546,博时裕盈3个月定开债,债券型,2025/11/20,1.0454,0.01,0.05,0.32,0.53,0.93,2.61,5.87,10.32,1.65,54.92,0,1,1,0.08,0,,041_071_080,0,5,10元,0.80%,0.08%,0.08%,1,
006082,鑫元全利一年定开债A,债券型,2025/11/20,1.0312,0.01,0.07,0.39,0.53,0.47,2.61,6.68,10.28,0.72,24.24,0,1,1,0.06,0,,041_071_080,0,6,10元,0.60%,0.06%,0.06%,1,
006934,平安3-5年期政策性金融债债券A,债券型,2025/11/20,1.1004,0.02,0.09,0.54,0.59,0.31,2.61,7.39,9.55,0.63,28.85,3,1,1,0.03,0,,041,1,1,10元,0.30%,0.03%,0.03%,1,
014815,财通资管鸿慧中短债发起A,债券型,2025/11/20,1.1163,0,0.04,0.26,0.53,0.84,2.61,5.36,9.77,1.66,11.63,3,1,1,0.04,0,,042_080,1,1,10元,0.40%,0.04%,0.04%,1,
019451,中欧兴悦债券C,债券型,2025/11/20,1.08,0,0.04,0.47,0.79,1.64,2.61,6.24,,2.04,5.46,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
019489,景顺长城景泰通利纯债A,债券型,2025/11/20,1.0355,0.03,0.09,0.63,0.82,0.09,2.61,,,0.37,7.21,0,1,1,0.05,0,,041,0,4,---,0.50%,0.05%,0.05%,1,
021530,路博迈安航90天持有债券A,债券型,2025/11/20,1.0342,-0.02,-0.09,0.47,0.41,0.14,2.61,,,-0.26,3.42,3,1,1,0.04,0,,043_073,1,1,10元,0.40%,0.04%,0.04%,1,
004090,汇添富鑫瑞债券C,债券型,2025/11/20,1.167,-0.01,0.04,0.28,0.27,0.28,2.6,6.9,9.52,0.7,29.8,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
006415,银华中短政策金融债定开债,债券型,2025/11/20,1.0544,0.02,0.06,0.44,0.54,0.41,2.6,7.49,10.69,0.52,26.38,3,1,1,0.06,0,,042_071,0,1,10元,0.60%,0.06%,0.06%,1,
007584,鹏华丰鑫债券A,债券型,2025/11/20,1.0711,0,0.03,0.32,0.39,0.57,2.6,9,12.04,1.32,26.24,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
007279,永赢众利债券A,债券型,2025/11/20,1.1563,0.01,0.02,0.54,0.63,-0.01,2.6,9.2,12.63,0.03,25.17,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
007572,中加民丰纯债A,债券型,2025/11/20,1.0737,0,0.05,0.36,0.57,0.74,2.6,6.57,9.63,1.21,21.5,0,1,1,0.08,0,,041,0,4,10元,0.80%,0.08%,0.08%,1,
008745,南方尊利一年债券,债券型,2025/11/20,1.0374,0,0.05,0.6,0.67,0.61,2.6,5.98,9.17,1.12,18.05,0,1,1,0.02,0,,041_071_080,0,6,---,0.20%,0.02%,0.02%,1,
002996,长信稳健纯债债券A,债券型,2025/11/20,1.0527,0,0.04,0.47,0.67,0.98,2.6,6.71,11.38,1.82,44.69,0,1,1,0.06,0,,041,0,4,10元,0.60%,0.06%,0.06%,1,
016583,汇添富鑫润纯债A,债券型,2025/11/20,1.0349,0,0.05,0.35,0.51,0.28,2.6,6.13,,0.44,8.83,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
016514,创金合信信用红利债券E,债券型,2025/11/20,1.2283,0,0.06,0.51,0.69,0.82,2.6,6.77,,1.61,10.88,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
016111,鹏华丰尊债券,债券型,2025/11/20,1.0493,0,0.02,0.26,0.34,0.26,2.6,6.13,,0.45,8.18,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
019492,大成景熙利率债C,债券型,2025/11/20,1.0685,0.01,0.04,0.47,0.56,-0.2,2.6,7.83,,-0.24,7.87,3,0,1,0,0,,041,0,1,10元,,0.00%,,,
020952,方正富邦瑞福6个月持有期债券A,债券型,2025/11/20,1.0403,0.01,0.03,0.42,0.38,0.49,2.6,,,1.3,4.03,3,1,1,0.04,0,,041_073,1,1,10元,0.40%,0.04%,0.04%,1,
021803,华商鸿信纯债债券,债券型,2025/11/20,1.0306,0,0.04,0.49,0.6,0.78,2.6,,,1.48,3.06,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
162712,广发聚利债券(LOF)A,债券型,2025/11/20,1.4242,-0.08,-0.2,1.11,-2.53,0.3,2.59,8.7,13.99,0.32,138.62,3,1,1,0.08,0,,020_043,1,1,10元,0.80%,0.08%,0.08%,1,
000402,工银纯债债券A,债券型,2025/11/20,1.1763,0.01,0.05,0.39,0.56,0.68,2.59,6.56,10.67,1.38,67.89,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
003072,国联睿祥纯债C,债券型,2025/11/20,1.1233,0,0.04,0.54,0.66,0.64,2.59,5.4,10.05,1.01,36.67,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
016116,国联安恒盛3个月定开债券,债券型,2025/11/14,1.081,,0.05,0.3,-0.07,0.24,2.59,6.38,,0.31,8.1,0,1,1,0.04,0,,041_071,0,6,10元,0.40%,0.04%,0.04%,1,
005361,国联聚商定期开放债券,债券型,2025/11/20,1.0154,0,0.04,0.45,0.56,0.28,2.59,6.63,9.91,0.77,31.3,0,1,1,0.06,0,,043_071_080,0,6,1元,0.60%,0.06%,0.06%,1,
003078,泰康安惠纯债债券A,债券型,2025/11/20,1.2173,0.01,0.04,0.4,0.6,0.98,2.59,5.68,9.72,1.7,37.32,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
006609,申万菱信安泰瑞利中短债A,债券型,2025/11/20,1.1342,0.01,0.05,0.37,0.61,0.99,2.59,5.48,8.98,1.75,20.81,3,1,1,0.04,0,,042,1,1,10元,0.40%,0.04%,0.04%,1,
100073,富国强回报定开债C,债券型,2025/11/20,1.7527,0,0.05,0.6,0.44,0.67,2.59,6.91,11.42,1.17,96.33,0,0,1,0,0,,041_071,0,6,10元,0.00%,0.00%,0.00%,0,
008662,中银澳享一年定开债发起式,债券型,2025/11/20,1.1011,0,0.05,0.48,0.61,0.77,2.59,8.81,12.33,1.58,18.13,0,1,1,0.08,0,,041_071_080,0,6,---,0.80%,0.08%,0.08%,1,
010232,国寿安保泰安纯债债券,债券型,2025/11/20,1.0663,0.01,0.06,0.52,0.6,0.36,2.59,8.44,11.85,0.85,18.5,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
011658,汇添富中高等级信用债A,债券型,2025/11/20,1.1528,0.01,0.06,0.37,0.5,0.72,2.59,6.24,10.11,1.24,15.28,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
012566,长城久稳债券C,债券型,2025/11/20,1.1439,0,0.03,0.37,0.54,0.88,2.59,5.15,11.02,1.48,11.96,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
016241,嘉实稳泽纯债债券C,债券型,2025/11/20,1.0574,0,0.04,0.38,0.25,0.09,2.59,5.74,9.72,0.61,9.51,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
016194,恒生前海恒悦纯债C,债券型,2025/11/20,1.0539,-0.03,0,0.24,0.36,0.43,2.59,7.17,10.1,0.93,9.3,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
016442,中信建投景益债券A,债券型,2025/11/20,1.0661,-0.01,0.05,0.81,0.51,-0.16,2.59,8.16,,0.39,10.68,3,1,1,0.03,0,,041,1,1,10元,0.30%,0.03%,0.03%,1,
018625,国泰海通君增利60天滚动持有债券发起式C,债券型,2025/11/20,1.0716,0.01,0.04,0.3,0.56,0.81,2.59,6.54,,2.3,7.16,3,0,1,0,0,,042_073_074_080,1,1,10元,,0.00%,,,
021387,永赢泰利债券B,债券型,2025/11/20,1.1358,0.01,0.08,0.53,0.64,0.79,2.59,,,1.16,4.47,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
022378,浙商惠利纯债C,债券型,2025/11/20,1.0565,0.01,0.03,0.2,0.29,0.05,2.59,,,0.22,3.14,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
000148,易方达高等级信用债债券C,债券型,2025/11/20,1.206,0.01,0.03,0.23,0.42,0.66,2.58,7.86,11.56,1.05,57.56,3,0,1,0,0,,041,1,1,10元,0.00%,0.00%,0.00%,0,
002928,长盛盛和纯债C,债券型,2025/11/20,1.081,0.01,0.04,0.44,0.51,0.62,2.58,6.47,10.21,1.17,27.76,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
003767,宏利纯利债券A,债券型,2025/11/20,1.0535,0.03,0.07,0.42,0.61,0.48,2.58,5.5,8.85,1.03,34.28,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
004797,国寿安保安盛纯债3个月定开债,债券型,2025/11/20,1.05,0.01,0.06,0.38,0.59,0.75,2.58,6.83,10.32,1.38,35.91,0,1,1,0.08,0,,041_071_080,0,6,10元,0.80%,0.08%,0.08%,1,
007526,易方达年年恒夏一年定开债C,债券型,2025/11/20,1.0068,0,0.06,0.41,0.59,1.04,2.58,6.37,10.32,1.7,24.22,0,0,1,0,0,,041_071_080,0,6,10元,,0.00%,,,
007935,平安惠澜纯债A,债券型,2025/11/20,1.1403,0,0.03,0.33,0.48,0.79,2.58,6.48,9.28,1.37,23.12,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
008760,摩根瑞泰38个月定期开放债券C,债券型,2025/11/14,1.012,,0.05,0.24,0.64,1.46,2.58,4.98,7.4,2.25,13.63,0,0,1,0,0,,041_071,0,6,10元,,0.00%,,,
008170,博时富添纯债债券A,债券型,2025/11/20,1.1107,0,0.05,0.43,0.59,0.38,2.58,6.72,10.43,0.81,19.5,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
007409,鹏扬淳开债券C,债券型,2025/11/20,1.0439,0,0.09,0.63,0.66,0.48,2.58,8.51,11.03,0.85,22.81,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
010476,太平恒久纯债,债券型,2025/11/20,1.0276,0.01,0.04,0.48,0.38,0.68,2.58,7.99,14.79,1.59,48.31,0,1,1,0.08,0,,041,0,4,10元,0.80%,0.08%,0.08%,1,
162511,国联安双佳信用债券(LOF),债券型,2025/11/20,0.9539,0.01,0.03,0.32,0.58,0.6,2.58,7.02,10.2,1.92,79.29,3,1,1,0.08,0,,020_043,0,1,10元,0.80%,0.08%,0.08%,1,
013520,富荣中短债债券A,债券型,2025/11/20,0.9692,0.01,0.03,0.39,0.64,1.04,2.58,6.88,-3.4,1.96,-3.08,3,1,1,0.04,0,,042,1,1,10元,0.40%,0.04%,0.04%,1,
013692,兴华安恒纯债C,债券型,2025/11/20,1.0257,0.01,0.07,0.62,0.57,0.32,2.58,5.89,8.43,1.96,10.58,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
013966,西部利得双瑞一年定开债券发起,债券型,2025/11/20,1.0258,0.01,0.06,0.42,0.51,0.47,2.58,7.32,11.33,0.91,15.42,0,1,1,0.08,0,,043_071_080,0,6,---,0.80%,0.08%,0.08%,1,
015492,中航瑞发3个月定开债A,债券型,2025/11/20,1.0121,0,0.03,0.41,0.4,0.29,2.58,5.88,10.74,0.86,10.62,0,1,1,0.03,0,,041_071,0,6,10元,0.30%,0.03%,0.03%,1,
017447,民生加银恒宁债券,债券型,2025/11/20,1.0807,0.01,0.06,0.51,0.5,0.06,2.58,7.34,,0.5,9.47,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
019282,华宝宝润债券C,债券型,2025/11/20,1.0055,0,0.02,0.17,0.35,-0.06,2.58,4.39,,0.42,4.82,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
020050,英大安华纯债债券A,债券型,2025/11/20,1.0399,0,0.05,0.41,0.51,0.24,2.58,,,0.4,6.94,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
004238,永赢瑞益债券A,债券型,2025/11/20,1.1106,0,0.05,0.5,0.66,0.72,2.58,6.54,10.02,1.15,46.81,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
003209,鹏华丰达债券A,债券型,2025/11/20,1.0646,0,0.05,0.38,0.68,0.54,2.57,5.9,9.8,1.46,30.66,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
006163,融通增辉定开债券发起式,债券型,2025/11/20,1.0984,0,0.04,0.42,0.61,0.44,2.57,8.33,8.92,0.95,36.38,0,1,1,0.07,0,,043_071_080,0,6,100元,0.70%,0.07%,0.07%,1,
005336,中加颐慧定开债券发起式A,债券型,2025/11/14,1.1483,0.01,0.04,0.42,0.14,0.72,2.57,5.14,22.86,1.12,52.06,0,1,1,0.057,0,,041_071_080,0,6,10元,0.57%,0.06%,0.06%,1,
006513,鹏扬淳享债券A,债券型,2025/11/20,1.0194,-0.01,0,0.37,0.52,0.71,2.57,7.78,10.79,0.92,27.79,0,1,1,0.06,0,,041,0,4,---,0.60%,0.06%,0.06%,1,
006588,中加聚利纯债定开A,债券型,2025/11/20,1.1512,0,0.05,0.59,0.67,0.19,2.57,5.26,9.38,1.48,30.31,0,1,1,0.06,0,,041_071,0,6,10元,0.60%,0.06%,0.06%,1,
006885,汇添富AAA级信用纯债C,债券型,2025/11/20,1.1474,0,0.04,0.66,0.56,0.12,2.57,5.72,9.23,0.46,22.59,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
010354,南方崇元纯债债券C,债券型,2025/11/20,1.1799,-0.01,0.06,0.71,0.61,0.25,2.57,7.64,13.36,1.3,21.62,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
016672,汇安嘉裕纯债债券C,债券型,2025/11/20,1.0146,0.01,0.1,0.46,0.56,1.15,2.57,7.3,6.95,1.6,6.85,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
016816,兴业120天滚动持有债券A,债券型,2025/11/20,1.1064,0,0.03,0.19,0.42,0.77,2.57,6.03,,1.56,10.64,3,1,1,0.04,0,,042_073_074,1,1,10元,0.40%,0.04%,0.04%,1,
015929,蜂巢丰裕债券A,债券型,2025/11/20,1.0103,0,0.05,0.36,0.61,0.72,2.57,6.18,,1.41,9.71,0,1,1,0.06,0,,041,0,4,10元,0.60%,0.06%,0.06%,1,
019581,浦银悦享30天持有债券A,债券型,2025/11/20,1.0576,0.01,0.05,0.29,0.5,0.79,2.57,,,1.33,5.76,3,1,1,0.04,0,,042_073,1,1,10元,0.40%,0.04%,0.04%,1,
020725,建信开元金享6个月持有期债券发起C,债券型,2025/11/20,1.0379,-0.15,-0.6,-0.13,-0.03,1.54,2.57,,,2.54,3.79,3,0,1,0,0,,043_073_080_701,1,1,10元,,0.00%,,,
021220,工银纯债债券D,债券型,2025/11/20,1.1762,0,0.04,0.38,0.55,0.67,2.57,,,1.37,4.12,3,1,1,0.08,0,,041,0,1,20万,0.80%,0.08%,0.08%,1,
000077,工银信用纯债一年定开债C,债券型,2025/11/20,1.761,0,0.06,0.4,0.57,0.92,2.56,6.47,10.27,1.38,76.1,0,0,1,0,0,,041_071,0,6,10元,0.00%,0.00%,0.00%,0,
000078,工银信用纯债三个月定开债A,债券型,2025/11/20,1.6594,-0.01,0.02,0.32,0.56,0.65,2.56,6.78,10.53,1.21,65.94,3,1,1,0.06,0,,041_071,0,1,10元,0.60%,0.06%,0.06%,1,
519188,万家信用恒利债券A,债券型,2025/11/20,1.2039,0,0.05,0.44,0.74,1.05,2.56,7.46,12.15,1.63,73.03,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
002795,平安惠盈纯债A,债券型,2025/11/20,1.241,0,0,0.57,0.49,1.06,2.56,6.45,11.28,1.47,39.17,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
006073,人保鑫瑞中短债债券A,债券型,2025/11/20,1.1704,0.01,0.04,0.25,0.51,0.8,2.56,5.89,8.89,1.83,19.22,3,1,1,0.04,0,,042,1,1,10元,0.40%,0.04%,0.04%,1,
007568,南方恒新39个月C,债券型,2025/11/20,1.0333,0.01,0.04,0.32,0.79,1.44,2.56,4.97,7.28,2.29,22.25,0,0,1,0,0,,041_071,0,6,10元,,0.00%,,,
007616,富国投资级信用债债券型A,债券型,2025/11/20,1.0806,0,0.06,0.54,0.61,0.77,2.56,6.93,10.75,1.31,23.99,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
007196,平安惠合纯债,债券型,2025/11/20,1.0886,0.01,0.02,0.33,0.26,0.65,2.56,7.28,10.94,1.19,21.28,0,1,1,0.06,0,,041,0,4,10元,0.60%,0.06%,0.06%,1,
009310,国寿安保尊庆6个月持有期债券C,债券型,2025/11/20,1.0447,-0.09,-0.64,0.45,-0.42,1.07,2.56,6.62,8.39,1.36,12.63,3,0,1,0,0,,043_073,1,1,10元,,0.00%,,,
013077,永赢乾益债券,债券型,2025/11/20,1.0703,0.01,0.07,0.41,0.59,0.59,2.56,7.12,10.49,1.02,14.71,0,1,1,0.08,0,,041,0,4,10元,0.80%,0.08%,0.08%,1,
014456,招商稳恒中短债60天持有债券A,债券型,2025/11/20,1.1031,0,0.04,0.25,0.51,1.02,2.56,6,9.71,1.78,10.31,3,1,1,0.035,0,,043_073,1,1,10元,0.35%,0.04%,0.04%,1,
017699,广发景泰债券A,债券型,2025/11/20,1.0446,0.01,0.06,0.39,0.51,0.39,2.56,7.14,,0.66,8.81,3,1,1,0.08,0,,041,0,1,10元,0.80%,0.08%,0.08%,1,
018487,汇添富鑫荣纯债A,债券型,2025/11/20,1.0382,-0.01,0.01,0.5,0.44,-0.44,2.56,6.95,,-0.23,7.72,3,1,1,0.08,0,,041,0,1,10元,0.80%,0.08%,0.08%,1,
014087,兴证全球恒悦180天持有债券C,债券型,2025/11/20,1.1455,0.01,0.07,0.44,0.62,1.02,2.56,6.51,10.6,1.66,14.55,3,0,1,0,0,,041_073,1,1,10元,,0.00%,,,
018697,尚正臻元债券,债券型,2025/11/20,1.013,0,0.03,0.4,0.55,0.68,2.56,6.25,,1.48,7.4,0,1,1,0.08,0,,041,0,4,---,0.80%,0.08%,0.08%,1,
018961,永赢瑞益债券B,债券型,2025/11/20,1.1107,0,0.05,0.52,0.69,0.7,2.56,6.51,,1.12,7.09,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
020921,博时富乐纯债债券C,债券型,2025/11/20,1.0683,0.01,0.06,0.59,0.64,0.45,2.56,,,0.95,4.85,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
022043,财通资管鸿商中短债E,债券型,2025/11/20,1.1115,0.01,0.02,0.3,0.53,0.82,2.56,,,1.46,2.44,3,1,1,0.04,0,,042,0,1,10元,0.40%,0.04%,0.04%,1,
000694,鑫元鸿利A,债券型,2025/11/20,1.1427,0.01,0.05,0.39,0.59,0.8,2.55,7.48,11.54,1.39,59.08,3,1,1,0.06,0,,042,1,1,10元,0.60%,0.06%,0.06%,1,
000112,易方达纯债1年定开债C,债券型,2025/11/20,1.022,0,0.1,0.49,0.69,0.98,2.55,6.05,10.39,1.56,66.57,0,0,1,0,0,,041_071,0,6,10元,0.00%,0.00%,0.00%,0,
002505,鹏华永达中短债6个月定开债券C,债券型,2025/11/20,1.1022,0,0.03,0.16,0.48,0.92,2.55,8.96,7.18,1.42,55.09,3,0,1,0,0,,042_071,0,3,10元,,0.00%,,,
004389,大成惠明纯债债券A,债券型,2025/11/20,1.0876,0,0,0.38,0.42,0.01,2.55,8.57,11.41,0.6,36.39,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
003869,长信稳势纯债,债券型,2025/11/20,1.0247,0,0.06,0.63,0.82,1,2.55,6.38,9.79,1.64,71.3,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
006134,富国金融债债券型,债券型,2025/11/20,1.0819,0.01,0.05,0.44,0.54,0.26,2.55,7.25,10.53,0.48,28.73,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
006874,创金合信恒兴中短债债券A,债券型,2025/11/20,1.0816,0.01,0.05,0.51,0.73,1.05,2.55,5.77,9.16,1.63,28.04,3,1,1,0.04,0,,042,1,1,10元,0.40%,0.04%,0.04%,1,
006450,嘉实致盈债券A,债券型,2025/11/20,1.0285,0,-0.01,0.36,0.25,-0.03,2.55,7.83,10.5,0.07,25.97,3,1,1,0.08,0,,043,0,1,10元,0.80%,0.08%,0.08%,1,
007278,国泰兴富三个月定开债,债券型,2025/11/20,1.0255,0.01,0.08,0.4,0.61,0.82,2.55,6.67,10.17,1.47,23.36,0,1,1,0.06,0,,041_071_080,0,6,---,0.60%,0.06%,0.06%,1,
008554,景顺长城景泰汇利定开债C,债券型,2025/11/20,1.1721,0,0.04,0.53,0.6,0.55,2.55,6.69,10.26,1.12,22.77,0,0,1,0,0,,041_071,0,6,10元,,0.00%,,,
008139,鑫元一年中高等级债,债券型,2025/11/20,1.0807,0.01,0.04,0.36,0.53,0.57,2.55,6.59,10.05,1.04,17.8,0,1,1,0.03,0,,043_071,0,6,10元,0.30%,0.03%,0.03%,1,
010810,湘财久盈中短债A,债券型,2025/11/20,1.0653,0.01,0.04,0.2,0.5,1.01,2.55,5.35,9.36,1.88,16.27,3,1,1,0.035,0,,042,1,1,10元,0.35%,0.04%,0.04%,1,
014005,鑫元鸿利D,债券型,2025/11/20,1.1415,0,0.04,0.39,0.59,0.8,2.55,7.4,11.43,1.39,13.47,0,1,1,0.08,0,,042,0,4,10元,0.80%,0.08%,0.08%,1,
012266,中泰稳固周周购12周滚动债A,债券型,2025/11/20,1.138,0,0.04,0.34,0.65,1.01,2.55,5.77,9.54,1.75,13.8,0,1,1,0.05,0,,043_071_073_074_701,0,6,10元,0.50%,0.05%,0.05%,1,
007420,华安鼎信3个月定开债,债券型,2025/11/14,1.0582,,0.06,0.47,0.07,0.61,2.55,6.72,9.99,1.18,25.45,0,1,1,0.08,0,,041_071_080,0,6,1元,0.80%,0.08%,0.08%,1,
014740,财通资管鸿商中短债A,债券型,2025/11/20,1.1113,0.01,0.02,0.3,0.53,0.82,2.55,5.39,9.47,1.46,11.13,3,1,1,0.04,0,,042,1,1,10元,0.40%,0.04%,0.04%,1,
008570,中航瑞智纯债C,债券型,2025/11/20,1.1076,0,-0.1,0.21,0.02,-0.43,2.55,7.8,10.92,0.32,10.76,3,0,1,0,0,,041,0,1,10元,,0.00%,,,
016809,嘉合磐益纯债C,债券型,2025/11/20,1.0225,0,0.04,0.29,0.54,0.98,2.55,6.81,12.22,1.71,11.73,0,0,1,0,0,,041,0,4,---,,0.00%,,,
016607,中金安盈90天持有中短债A,债券型,2025/11/20,1.0937,0.01,0.04,0.16,0.39,0.76,2.55,5.69,9.36,1.6,9.37,3,1,1,0.04,0,,042_073,1,1,10元,0.40%,0.04%,0.04%,1,
015818,财通资管睿盈债券A,债券型,2025/11/20,1.0226,0,0.02,0.47,0.46,0.11,2.55,6.39,9.1,0.45,9.1,3,1,1,0.04,0,,041,0,1,10元,0.40%,0.04%,0.04%,1,
008668,西部利得双盈一年定开债券,债券型,2025/11/20,1.1327,0,0.04,0.45,0.53,0.77,2.55,7.11,11.44,1.37,21.34,0,1,1,0.08,0,,041_071_080,0,6,---,0.80%,0.08%,0.08%,1,
019908,国寿安保泰悦3个月滚动持有债券A,债券型,2025/11/20,1.0691,0.01,0.05,0.27,0.57,1.05,2.55,,,1.78,6.91,3,1,1,0.03,0,,041_073_074,1,1,10元,0.30%,0.03%,0.03%,1,
020716,景顺长城60天持有期债券A,债券型,2025/11/20,1.0462,0,0.03,0.2,0.43,0.97,2.55,,,1.72,4.62,3,1,1,0.02,0,,042_073,1,1,10元,0.20%,0.02%,0.02%,1,
021430,富国投资级信用债债券型E,债券型,2025/11/20,1.0804,0.01,0.06,0.54,0.62,0.77,2.55,,,1.3,4.06,3,0,1,0,0,,041,1,1,10元,,0.00%,,,
010467,华安锦溶0-5年金融债定开债,债券型,2025/11/20,1.0904,0,0.06,0.35,0.48,0.36,2.55,6.92,10.06,0.74,16.74,0,1,1,0.05,0,,041_071_080,0,6,10元,0.50%,0.05%,0.05%,1,
000655,鑫元稳利债券,债券型,2025/11/20,1.0641,0.01,0.06,0.45,0.79,0.89,2.54,6.35,9.72,1.31,56.88,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
000053,鹏华永诚一年定开债券,债券型,2025/11/20,1.0634,-0.01,0.05,0.54,0.71,0.98,2.54,6.8,11.32,1.21,92.8,0,1,1,0.08,0,,041_071,0,6,10元,0.80%,0.08%,0.08%,1,
003614,中信保诚景瑞债券A,债券型,2025/11/20,1.0759,0.05,0.07,0.44,0.23,-0.42,2.54,7.5,9.74,-0.13,36.18,3,1,1,0.08,0,,041,0,1,10元,0.80%,0.08%,0.08%,1,
005655,诺安浙享定开债券,债券型,2025/11/14,1.0866,,0.05,0.7,0.21,0.77,2.54,6.67,9.15,1.35,28.78,0,1,1,0.06,0,,041_071_080,0,4,---,0.60%,0.06%,0.06%,1,
008207,国泰合融纯债债券A,债券型,2025/11/20,1.103,0,0.05,0.45,0.57,0.72,2.54,6.64,11.31,1.52,23.8,3,1,1,0.06,0,,041,1,1,10元,0.60%,0.06%,0.06%,1,
008637,国金惠享一年定开,债券型,2025/11/14,1.0099,,0.06,1.03,-0.15,0.87,2.54,7.17,10.72,1.03,19.66,0,1,1,0.08,0,,041_071_080,0,6,10元,0.80%,0.08%,0.08%,1,
007199,永赢泰利债券A,债券型,2025/11/20,1.1276,0,0.07,0.53,0.63,0.74,2.54,6.42,9.56,1.1,14.88,3,1,1,0.08,0,,041,1,1,10元,0.80%,0.08%,0.08%,1,
016300,浦银季季盈90天滚动持有中短债C,债券型,2025/11/20,1.0855,0.01,0.05,0.3,0.58,1.26,2.54,6.02,,1.94,8.55,3,0,1,0,0,,042_073_074,1,1,10元,,0.00%,,,
017311,大成景宁一年定开债券,债券型,2025/11/20,1.0238,0,0.02,0.4,0.52,1,2.54,5.23,,2.22,8.03,0,1,1,0.06,0,,041_071,0,6,---,0.60%,0.06%,0.06%,1,
019580,易方达安汇120天持有债券C,债券型,2025/11/20,1.0631,0,0.02,0.13,0.32,0.65,2.54,6.23,,1.24,6.31,3,0,1,0,0,,041_073,1,1,10元,,0.00%,,,
020798,万家信用恒利债券D,债券型,2025/11/20,1.2028,0,0.06,0.44,0.75,1.04,2.54,,,1.62,4.88,3,1,1,0.085,0,,043,1,1,10元,0.85%,0.09%,0.09%,1,
