indexCode,indexName,indexNameEn,查看地址
000130,380波动,SSE380VW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000130
000131,上证高新,SSE High and New Tech,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000131
000132,上证100,SSE 100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000132
000133,上证150,SSE 150,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000133
000134,上证银行,SSE Banks,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000134
000135,180高贝,SSE 180 HB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000135
000136,180低贝,SSE 180 LB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000136
000137,380高贝,SSE 380 HB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000137
000138,380低贝,SSE 380 LB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000138
000139,上证转债,SSE Convertible Bond,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000139
000141,380动态,380 Dynamic,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000141
000142,380稳定,380 Stability,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000142
000145,优势资源,Select Resources,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000145
000146,优势制造,Select Manufacturing,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000146
000147,优势消费,Select Consumption,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000147
000148,消费领先,leading cons. and serv.,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000148
000149,180红利,SSE 180 Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000149
000150,380红利,SSE 380 Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000150
000151,上国红利,SSE Soes Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000151
000152,上央红利,SSE Central Soes Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000152
000153,上民红利,SSE Poes Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000153
000155,市值百强,Market Value Top 100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000155
000158,上证环保,SSE EP,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000158
000159,沪股通,SH Stock Connect,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000159
000160,沪新丝路,SSE OBOR,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000160
000161,沪中国造,SSE China Manufacture,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000161
000162,沪互联+,SSE Internet plus,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000162
000300,沪深300,CSI 300,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000300
000510,中证A500,CSI A500,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000510
000680,科创综指,STAR Composite Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000680
000681,科创价格,STAR Composite PR,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000681
000682,科创信息,STAR Next Generation IT,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000682
000683,科创生物,STAR Biology and Medicine,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000683
000685,科创芯片,STAR Chip Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000685
000687,科创高装,STAR High-End Equipment,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000687
000688,科创50,STAR 50,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000688
000689,科创材料,STAR New Materials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000689
000690,科创成长,STAR Growth Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000690
000691,科创ESG,STAR ESG,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000691
000692,科创新能,STAR New Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000692
000693,科创机械,STAR Industrial Machinery,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000693
000695,科长三角,STAR Yangtze River Delta,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000695
000697,科大湾区,STAR Greater Bay Area,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000697
000698,科创100,STAR 100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000698
000699,科创200,STAR 200,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000699
000802,500沪市,500 SSE,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000802
000814,细分医药,Health Care Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000814
000819,有色金属,Non-ferrous Metal,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000819
000827,中证环保,CSI EP,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000827
000852,中证1000,CSI 1000,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000852
000888,上证收益,SSE TR,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000888
000901,小康指数,CSI Well-Off,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000901
000903,中证A100,CSI A100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000903
000905,中证500,CSI 500,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000905
000906,中证800,CSI 800,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000906
000913,300医药,CSI 300 Health Care,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000913
000914,300金融,CSI 300 Financials and Real Estate,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000914
000928,800能源,800 Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000928
000932,800消费,800 Cons Staples,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000932
000933,800医卫,800 Health Care,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000933
000934,800金地,800 Financials and Real Estate,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000934
000935,800信息,800 IT,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000935
000982,500等权,CSI 500 EW,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000982
000986,全指能源,All Share Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000986
000987,全指材料,All Share Materials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000987
000989,全指可选,All Share Cons Disc,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000989
000991,全指医药,All Share HealthCare,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000991
000992,金融地产,All Share Financials and Real Estate,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000992
000993,全指信息,All Share IT,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000993
399701,深证F60,SZFI 60,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399701
399702,深证F120,SZFI 120,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399702
399703,深证F200,SZFI 200,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399703
399704,深证上游,SZSE Upstream,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399704
399705,深证中游,SZSE Midstream,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399705
399706,深证下游,SZSE Downstream,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399706
399707,CSSW证券,CSSW Securities,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399707
399802,500深市,500 SZSE,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399802
399803,工业4.0,CSI Industry 4.0,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399803
399804,中证体育,CSI Sport,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399804
399805,互联金融,CSI Internet Finance,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399805
399806,环境治理,Environ-governance,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399806
399807,高铁产业,High-Speed Railway,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399807
399808,中证新能,CSI New Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399808
399809,保险主题,Insurance Theme,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399809
399810,CSSW传媒,CSSW Media,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399810
399811,CSSW电子,CSSW Electronics,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399811
399812,养老产业,CSI Old-Age Industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399812
399813,中证国安,CSI Defense Security,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399813
399814,大农业,CSI Grand Agric,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399814
399959,军工指数,Defence Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399959
399965,800地产,800 Real Estate,https://www.csindex.com.cn/#/indices/family/detail?indexCode=399965
399966,800证保,800 Fin(ex Banks),https://www.csindex.com.cn/#/indices/family/detail?indexCode=399966
